Sl. No.,State/UT,District,Murder with Rape/Gang Rape - Col. ( 3),Dowry Deaths (Sec. 304B IPC) - Col. ( 4),Abetment to Suicide of Women (Sec. 305/306 IPC) - Col. ( 5),Miscarriage (Sec. 313 & 314 IPC) - Col. ( 6),Acid Attack (Sec. 326A IPC) - Col. ( 7),Attempt to Acid Attack (Sec. 326B IPC) - Col. ( 8),Cruelty by Husband or his relatives (Sec. 498 A IPC) - Col. ( 9),"Kidnapping & Abduction of Women - Kidnapping & Abduction of Women (Total) (Col.11 to Col.14,Col.17 to Col.19) Col.25=Col. 28+Col.31+Col.34+Col.37+Col.40+Col.43+Col.52) - Col. ( 10)",Kidnapping & Abduction of Women - Kidnapping & Abduction (Sec. 336 IPC) - Col. ( 11),Kidnapping & Abduction of Women - Kidnapping & Abduction in order to Murder (Sec. 364 IPC) - Col. ( 12),Kidnapping & Abduction of Women - Kidnapping for Ransom (Sec. 364A IPC) - Col. ( 13),Kidnapping & Abduction of Women - Kidnapping & Abduction of Women to compel her for marriage (Sec. 366 IPC) - K&A of Women to compel her for marriage (Total) (Col.15+Col.16) - Col. ( 14),Kidnapping & Abduction of Women - Kidnapping & Abduction of Women to compel her for marriage (Sec. 366 IPC) - Women (Above 18 yrs) - Col. ( 15),Kidnapping & Abduction of Women - Kidnapping & Abduction of Women to compel her for marriage (Sec. 366 IPC) - Girls (Below 18 yrs) - Col. ( 16),Kidnapping & Abduction of Women - Procuration of Minor Girls (Sec. 366A IPC) - Col. ( 17),Kidnapping & Abduction of Women - Importation of Girls from Foreign Country (Sec. 366B IPC) - Col. ( 18),"Kidnapping & Abduction of Women - Kidnapping and Abduction of Women - Others (Secs.363A, 365, 367, 368, 369 IPC) - Col. ( 19)",Human Trafficking (Sec. 370 & 370A IPC) - Col. ( 20,Selling of Minor Girls (Sec. 372 IPC) - Col. ( 21),Buying of Minor Girls (Sec. 373 IPC) - Col. ( 22),Rape (Sec. 376 IPC) - Rape (Col.24+Col.25) - Col. ( 23),Rape (Sec. 376 IPC) - Women (18 Yrs. And above) - Col. ( 24),Rape (Sec. 376 IPC) - Girls (Below 18 yrs) - Col. ( 25),Attempt to Commit Rape (Sec. 376/511 IPC) - Attempt to Commit Rape (Col.27+Col.28) - Col. ( 26),Attempt to Commit Rape (Sec. 376/511 IPC) - Women (18 Yrs. And above) - Col. ( 27),Attempt to Commit Rape (Sec. 376/511 IPC) - Girls (Below 18 yrs) - Col. ( 28),Assault on Women with Intent to Outrage her Modesty (Sec. 354 IPC) - Assault on Women with Intent to Outrage her Modesty (Col.30+Col.31) - Col. ( 29),Assault on Women with Intent to Outrage her Modesty (Sec. 354 IPC) - Women (18 Yrs. And above) - Col. ( 30),Assault on Women with Intent to Outrage her Modesty (Sec. 354 IPC) - Girls (Below 18 yrs) - Col. ( 31),Insult to the Modesty of Women (Sec. 509 IPC) - Insult to the Modesty of Women (Col.33+Col.34) - Col. ( 32),Insult to the Modesty of Women (Sec. 509 IPC) - Women (18 Yrs. And above) - Col. ( 33),Insult to the Modesty of Women (Sec. 509 IPC) - Girls (Below 18 yrs) - Col. ( 34),"Dowry Prohibition Act, 1961 - Col. ( 35)","Immoral Traffic (Prevention) Act 1956 (Women Victims cases only) - Immoral Traffic (Prevention) Act, 1956 (Total) (Col. 37 to Col.41) - Col. ( 36)","Immoral Traffic (Prevention) Act 1956 (Women Victims cases only) - Procuring, inducing Children for the sake of prostitution (Section 5) - Col. ( 37)",Immoral Traffic (Prevention) Act 1956 (Women Victims cases only) - Detaining a person in premises where prostitution is carried on (Section 6) - Col. ( 38),Immoral Traffic (Prevention) Act 1956 (Women Victims cases only) - Prostitution in or in the vicinity of public places (Section 7) - Col. ( 39),Immoral Traffic (Prevention) Act 1956 (Women Victims cases only) - Seducing or soliciting for purpose of prostitution (Section 8) - Col. ( 40),Immoral Traffic (Prevention) Act 1956 (Women Victims cases only) - Other Sections under ITP Act - Col. ( 41),Protection of Women from Domestic Violence Act - Col. ( 42),Cyber Crimes/Information Technology Act (Women Centric Crimes only) - Cyber Crimes/Information Technology Act (Women Centric Crimes only) (Col.44+Col.45) - Col. ( 43),Cyber Crimes/Information Technology Act (Women Centric Crimes only) - Publishing or Transmitting of Sexually Explicit Material (Sec. 67A/67B (Girls) IT Act) - Col. ( 44),Cyber Crimes/Information Technology Act (Women Centric Crimes only) - Other Women Centric Cyber Crimes (Ex. Blackmailing/ Defamation/Morphing/ Fake Profile) - Col. ( 45),Protection of Children from Sexual Violence Act (Girl Child Victims only) - Protection of Children from Sexual Violence Act (Girl Child Victims only) (Total) (Col.47 to Col.52) - Col. ( 46),Protection of Children from Sexual Violence Act (Girl Child Victims only) - Child Rape (Sec. 4 & 6 of POCSO Act) / Sec. 376 IPC) - Col. ( 47),Protection of Children from Sexual Violence Act (Girl Child Victims only) - Sexual Assault of Children (Sec. 8 & 10 of POCSO Act) / Sec. 354 IPC) - Col. ( 48),Protection of Children from Sexual Violence Act (Girl Child Victims only) - Sexual Harassment (Sec. 12 of POCSO Act) / Sec. 509 IPC) - Col. ( 49),Protection of Children from Sexual Violence Act (Girl Child Victims only) - Use of Child for Pornography/Storing Child Pornography Material (Sec. 14 & 15 of POCSO Act) - Col. ( 50),Protection of Children from Sexual Violence Act (Girl Child Victims only) - POCSO Act (Sections 17 to 22) / Other offences of POCSO Act - Col. ( 51),Protection of Children from Sexual Violence Act (Girl Child Victims only) - POCSO Act r/w Section 377 IPC / Unnatural Offences - Col. ( 52),"Indecent Representation of Women (Prohibition) Act, 1986 - Col. ( 53)",Total Crime against Women (IPC+SLL) - Col. ( 54)
2,Telangana,Hyderabad Commissionerate,0,11,22,0,0,2,1577,346,323,0,0,15,3,12,8,0,0,0,0,0,104,104,0,0,0,0,468,468,0,207,207,0,0,0,0,0,0,0,0,0,16,5,11,392,245,119,7,21,0,0,0,3145
3,Telangana,Karimnagar Commissionerate,0,4,14,0,0,0,236,36,3,0,0,32,16,16,0,0,1,0,0,0,10,10,0,0,0,0,160,135,25,6,6,0,0,1,0,0,0,0,1,0,0,0,0,23,23,0,0,0,0,0,0,490
4,Telangana,Khammam Commissionerate,0,4,23,0,0,0,278,83,82,0,0,1,1,0,0,0,0,0,0,0,18,18,0,4,4,0,162,162,0,17,17,0,0,8,1,0,0,0,7,0,0,0,0,100,37,57,3,3,0,0,0,697
5,Telangana,Nizamabad Commissionerate,1,5,15,0,0,0,347,60,57,0,0,1,0,1,2,0,0,3,0,0,17,17,0,1,1,0,156,156,0,52,52,0,0,0,0,0,0,0,0,0,0,0,0,64,43,19,2,0,0,0,0,721
6,Telangana,Rachakonda Commissionerate,0,12,1,0,0,0,1704,134,121,0,0,0,0,0,0,0,13,0,0,0,172,172,0,0,0,0,888,888,0,255,255,0,0,0,0,0,0,0,0,0,0,0,0,518,263,255,0,0,0,0,0,3684
7,Telangana,Ramagundam Commissionerate,0,4,16,0,0,0,589,59,57,0,0,1,0,1,1,0,0,0,0,0,11,11,0,3,2,1,219,219,0,13,13,0,0,1,0,1,0,0,0,0,0,0,0,76,48,28,0,0,0,0,0,991
8,Telangana,Siddipet Commissionerate,0,7,8,0,0,0,291,47,43,0,0,0,0,0,1,0,3,0,0,0,23,23,0,0,0,0,109,109,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,80,58,22,0,0,0,0,0,573
9,Telangana,Warangal Commissionerate,0,14,28,0,0,0,577,177,159,0,0,5,3,2,1,0,12,0,0,0,50,50,0,2,2,0,254,254,0,31,31,0,5,0,0,0,0,0,0,0,0,0,0,134,83,50,1,0,0,0,0,1272
10,Telangana,Adilabad,0,3,7,0,1,0,149,20,15,0,0,0,0,0,2,0,3,2,0,0,17,17,0,3,0,3,67,67,0,13,13,0,1,0,0,0,0,0,0,0,1,1,0,43,22,13,8,0,0,0,0,327
11,Telangana,Bhadradri Kothagudem,0,2,20,0,1,0,378,92,76,0,0,6,4,2,10,0,0,2,0,0,24,24,0,1,1,0,126,126,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,91,42,48,0,0,1,0,0,744
12,Telangana,Jagityal,0,4,10,0,0,0,262,32,25,0,0,7,1,6,0,0,0,2,0,0,9,9,0,2,0,2,177,177,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,48,26,22,0,0,0,0,0,547
13,Telangana,Jayashankar Bhupalpalli,0,2,6,0,0,0,86,34,31,0,0,3,3,0,0,0,0,0,0,0,5,5,0,0,0,0,71,68,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,1,0,0,211
14,Telangana,Jogulamba Gadwal,0,1,8,0,0,0,47,13,4,0,0,9,1,8,0,0,0,0,0,0,6,6,0,0,0,0,47,47,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,66,54,12,0,0,0,0,0,190
15,Telangana,Kamareddy,0,4,5,0,0,0,196,4,1,0,0,3,0,3,0,0,0,0,0,0,9,9,0,0,0,0,80,70,10,14,14,0,0,0,0,0,0,0,0,0,0,0,0,44,27,17,0,0,0,0,0,356
16,Telangana,Kumaram Bheem Asifabad,0,3,3,0,0,0,69,35,32,0,0,2,1,1,1,0,0,0,0,0,17,17,0,2,2,0,19,19,0,5,5,0,0,1,1,0,0,0,0,0,0,0,0,15,11,4,0,0,0,0,0,169
17,Telangana,Mahabubabad,0,1,16,0,0,0,199,66,66,0,0,0,0,0,0,0,0,0,0,0,23,23,0,1,0,1,90,90,0,20,19,1,0,0,0,0,0,0,0,0,1,0,1,44,27,17,0,0,0,0,0,461
18,Telangana,Mahabubnagar,0,0,14,0,0,0,151,88,33,0,0,54,0,54,1,0,0,0,0,0,11,11,0,0,0,0,101,84,17,3,3,0,0,3,0,0,0,0,3,0,0,0,0,96,92,4,0,0,0,0,0,467
19,Telangana,Medak,1,7,9,0,0,0,147,40,40,0,0,0,0,0,0,0,0,2,0,0,5,5,0,0,0,0,71,71,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,68,51,15,2,0,0,0,0,356
20,Telangana,Nagarkurnool,0,2,11,0,0,0,121,49,45,0,0,3,0,3,0,0,1,0,0,0,14,14,0,2,2,0,109,109,0,22,22,0,0,0,0,0,0,0,0,0,1,1,0,70,55,15,0,0,0,0,0,401
21,Telangana,Nalgonda,0,6,21,0,0,0,273,61,53,0,0,3,1,2,1,0,4,0,0,0,31,31,0,8,8,0,204,204,0,54,54,0,0,0,0,0,0,0,0,0,1,1,0,90,59,30,0,0,0,1,0,749
22,Telangana,Nirmal,0,3,11,0,0,0,113,33,33,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,47,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,224
23,Telangana,Rajanna Siricilla,0,4,6,0,0,0,167,22,2,0,0,20,5,15,0,0,0,0,0,0,21,21,0,0,0,0,85,31,54,5,5,0,0,0,0,0,0,0,0,0,0,0,0,21,21,0,0,0,0,0,0,331
24,Telangana,Sangareddy,0,10,7,0,0,0,189,19,0,0,0,6,6,0,12,0,1,0,0,0,24,24,0,0,0,0,69,69,0,4,4,0,0,0,0,0,0,0,0,0,2,2,0,60,50,10,0,0,0,0,0,384
25,Telangana,Suryapet,0,5,4,0,0,0,352,41,41,0,0,0,0,0,0,0,0,0,0,0,23,23,0,4,4,0,214,214,0,56,56,0,0,1,0,0,0,0,1,0,0,0,0,81,49,32,0,0,0,0,0,781
26,Telangana,Vikarabad,1,3,11,0,0,0,126,45,44,0,0,1,1,0,0,0,0,0,0,0,18,18,0,1,1,0,59,59,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,53,43,10,0,0,0,0,0,321
27,Telangana,Wanaparthy,0,0,0,0,0,0,63,26,8,0,0,18,0,18,0,0,0,0,0,0,7,7,0,0,0,0,32,28,4,11,11,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,164
28,Telangana,Railway Police Secunderabad,0,1,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
29,Telangana,Mulug,0,3,5,0,0,0,65,16,16,0,0,0,0,0,0,0,0,0,0,0,7,7,0,1,1,0,35,35,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,26,21,5,0,0,0,0,0,164
30,Telangana,Narayanpet,1,1,4,0,0,0,38,27,23,0,0,4,0,4,0,0,0,0,0,0,6,6,0,0,0,0,41,41,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,46,39,3,4,0,0,0,0,165
Total Districts,Total Districts,Total Districts,7,137,368,0,3,3,9996,2195,1881,0,1,232,47,185,40,0,41,159,0,0,814,814,0,36,29,7,4652,4539,113,930,929,1,6,16,3,1,0,0,12,0,40,14,26,2704,1753,889,33,26,2,1,0,22066
1,Tripura,Dhalai,1,1,1,0,0,0,30,6,2,1,0,1,0,1,0,0,2,0,0,0,8,8,0,1,1,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,3,0,0,0,0,0,66
2,Tripura,Gomati,0,2,1,0,0,0,69,10,4,0,0,1,0,1,4,0,1,0,0,0,11,11,0,0,0,0,7,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,23,15,7,1,0,0,0,0,124
3,Tripura,GRP,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,Tripura,Kowai,1,3,2,0,0,0,8,5,0,0,0,5,0,5,0,0,0,0,0,0,5,5,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,3,0,0,0,0,0,38
5,Tripura,North,1,5,1,0,0,0,40,11,4,0,0,3,0,3,3,0,1,1,0,0,10,10,0,1,1,0,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,14,4,0,0,0,0,0,111
6,Tripura,Sipahijala,0,4,0,0,0,0,41,13,11,0,0,1,1,0,0,0,1,0,0,0,7,7,0,1,1,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,76
7,Tripura,South,0,2,2,0,0,0,37,11,2,0,0,4,0,4,5,0,0,0,0,0,5,5,0,1,1,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,2,0,0,0,0,0,82
8,Tripura,Unakoti,0,0,0,0,0,0,50,14,4,0,1,2,2,0,6,0,1,0,0,0,7,7,0,3,3,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,20,12,8,0,0,0,0,0,107
9,Tripura,West,2,8,1,0,0,0,63,22,8,0,1,4,2,2,9,0,0,0,0,0,9,9,0,1,1,0,13,13,0,1,1,0,0,0,0,0,0,0,0,0,2,2,0,25,14,7,4,0,0,0,0,147
Total Districts,Total Districts,Total Districts,5,25,8,0,0,0,338,93,35,1,2,21,5,16,27,0,7,1,0,0,62,62,0,8,8,0,87,87,0,2,2,0,0,0,0,0,0,0,0,0,4,2,2,119,78,36,5,0,0,0,0,752
1,Uttar Pradesh,Agra,0,84,0,6,2,0,775,222,222,0,0,0,0,0,0,0,0,0,0,0,98,98,0,0,0,0,328,328,0,4,4,0,11,8,0,0,0,0,8,0,0,0,0,78,78,0,0,0,0,0,0,1616
2,Uttar Pradesh,Aligarh,1,54,11,0,4,0,919,526,325,0,0,201,201,0,0,0,0,0,0,0,57,57,0,0,0,0,598,598,0,0,0,0,2,0,0,0,0,0,0,0,25,25,0,256,74,182,0,0,0,0,0,2453
3,Uttar Pradesh,Prayagraj,0,48,28,0,0,0,947,338,0,0,0,338,239,99,0,0,0,0,0,0,106,106,0,0,0,0,375,218,157,0,0,0,2,0,0,0,0,0,0,0,0,0,0,79,79,0,0,0,0,0,3,1926
4,Uttar Pradesh,Ambedkar Nagar,0,13,0,0,0,0,21,174,19,0,0,155,60,95,0,0,0,0,0,0,66,46,20,0,0,0,128,98,30,0,0,0,183,1,0,0,1,0,0,0,8,8,0,20,20,0,0,0,0,0,0,614
5,Uttar Pradesh,Amethi,0,10,0,0,0,0,134,20,0,0,0,20,20,0,0,0,0,0,0,0,35,35,0,1,1,0,47,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,22,28,0,0,0,0,0,297
6,Uttar Pradesh,Auraiya,0,21,5,0,0,0,263,129,0,0,0,129,125,4,0,0,0,0,0,0,14,14,0,0,0,0,92,92,0,0,0,0,4,0,0,0,0,0,0,0,12,12,0,138,51,84,3,0,0,0,0,678
7,Uttar Pradesh,Azamgarh,1,23,4,0,0,0,353,243,72,0,0,171,171,0,0,0,0,0,0,0,77,77,0,0,0,0,298,223,75,0,0,0,0,0,0,0,0,0,0,0,47,47,0,183,94,87,1,0,1,0,0,1229
8,Uttar Pradesh,Badaun,1,50,0,2,0,1,539,105,0,0,0,105,105,0,0,0,0,0,0,0,61,61,0,3,3,0,208,208,0,0,0,0,21,1,0,0,0,0,1,0,0,0,0,242,127,106,3,0,6,0,0,1234
9,Uttar Pradesh,Baghpat,0,12,0,3,0,0,82,275,0,0,0,275,172,103,0,0,0,0,0,0,26,26,0,34,20,14,71,33,38,0,0,0,0,0,0,0,0,0,0,0,1,0,1,102,51,47,4,0,0,0,0,606
10,Uttar Pradesh,Bahraich,0,51,28,8,0,0,30,462,142,0,0,320,320,0,0,0,0,0,0,0,40,40,0,7,7,0,323,323,0,19,19,0,900,0,0,0,0,0,0,0,0,0,0,174,50,124,0,0,0,0,0,2042
11,Uttar Pradesh,Ballia,1,16,6,1,0,0,167,171,36,0,0,135,135,0,0,0,0,0,0,0,30,30,0,4,4,0,94,94,0,3,3,0,0,0,0,0,0,0,0,0,35,35,0,83,28,55,0,0,0,0,0,611
12,Uttar Pradesh,Balrampur,0,22,7,0,0,0,24,193,40,0,0,153,52,101,0,0,0,0,0,0,65,32,33,0,0,0,98,64,34,0,0,0,117,0,0,0,0,0,0,0,2,2,0,66,30,35,1,0,0,0,0,594
13,Uttar Pradesh,Banda,0,30,12,0,0,0,198,198,160,0,0,38,38,0,0,0,0,0,0,0,34,34,0,4,3,1,148,148,0,1,1,0,2,0,0,0,0,0,0,0,3,3,0,136,34,99,3,0,0,0,0,766
14,Uttar Pradesh,Barabanki,0,30,9,6,0,0,35,394,115,0,0,279,93,186,0,0,0,0,0,0,23,23,0,0,0,0,101,101,0,0,0,0,678,0,0,0,0,0,0,1,12,11,1,170,48,121,1,0,0,0,0,1459
15,Uttar Pradesh,Bareilly,1,57,0,0,1,0,1155,416,256,0,0,160,160,0,0,0,0,2,0,0,27,27,0,0,0,0,335,335,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,242,77,130,3,1,31,0,0,2237
16,Uttar Pradesh,Basti,1,10,13,0,0,0,0,210,0,0,0,210,71,139,0,0,0,0,0,0,85,56,29,0,0,0,69,69,0,2,2,0,345,0,0,0,0,0,0,0,0,0,0,86,29,57,0,0,0,0,0,821
17,Uttar Pradesh,Bijnor,0,24,16,8,0,0,527,17,0,0,0,17,17,0,0,0,0,0,0,0,27,27,0,15,15,0,114,114,0,0,0,0,538,0,0,0,0,0,0,0,1,1,0,118,59,53,2,0,4,0,0,1405
18,Uttar Pradesh,Bulandshahar,0,41,12,0,0,0,691,140,64,5,0,71,71,0,0,0,0,0,0,0,49,49,0,9,9,0,96,83,13,4,4,0,0,0,0,0,0,0,0,0,4,4,0,234,110,118,5,0,1,0,0,1280
19,Uttar Pradesh,Chandoli,0,11,8,0,0,0,99,37,0,0,0,37,25,12,0,0,0,0,0,0,20,20,0,0,0,0,48,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,46,26,0,0,0,0,0,295
20,Uttar Pradesh,Chitrakoot,0,8,6,0,0,0,30,43,0,0,0,43,43,0,0,0,0,0,0,0,21,21,0,0,0,0,49,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,18,33,0,0,0,0,0,208
21,Uttar Pradesh,Deoria,0,23,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,0,0,0,0,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,20,21,0,0,0,0,0,109
22,Uttar Pradesh,Etah,0,33,0,0,0,0,81,47,0,0,0,47,47,0,0,0,0,0,0,0,11,11,0,0,0,0,99,99,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,60,29,30,1,0,0,0,0,337
23,Uttar Pradesh,Etawah,1,31,6,0,0,0,98,114,4,0,0,110,91,19,0,0,0,0,0,0,19,19,0,0,0,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,65,26,38,1,0,0,0,0,369
24,Uttar Pradesh,Ayodhya,2,23,3,2,0,0,10,292,290,2,0,0,0,0,0,0,0,0,0,0,52,52,0,6,6,0,130,84,46,0,0,0,244,1,0,0,1,0,0,0,8,8,0,24,24,0,0,0,0,0,0,797
25,Uttar Pradesh,Fatehgarh,0,17,0,0,1,0,153,169,85,0,0,84,50,34,0,0,0,0,0,0,38,15,23,8,8,0,38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,23,56,0,0,0,0,0,503
26,Uttar Pradesh,Fatehpur,2,42,4,0,0,0,182,72,0,0,0,72,72,0,0,0,0,0,0,0,24,24,0,0,0,0,178,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,36,73,0,0,0,0,0,613
27,Uttar Pradesh,Firozabad,0,55,14,0,2,0,419,627,129,0,0,498,245,253,0,0,0,2,0,0,133,94,39,1,1,0,421,311,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,39,110,0,0,0,0,0,1823
28,Uttar Pradesh,GRP,0,1,0,0,0,0,0,20,5,0,0,0,0,0,0,0,15,2,0,0,5,4,1,0,0,0,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,3,0,0,0,0,0,68
29,Uttar Pradesh,Gautambudh Nagar,0,32,0,0,1,0,293,428,181,9,0,238,209,29,0,0,0,0,0,0,29,29,0,2,2,0,79,79,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,74,53,20,1,0,0,0,0,940
30,Uttar Pradesh,Ghaziabad,2,51,25,0,2,0,846,124,0,2,0,113,0,113,0,0,9,0,0,0,103,103,0,0,0,0,191,190,1,1,1,0,3,6,0,0,0,0,6,0,22,22,0,221,99,116,4,0,1,1,0,1597
31,Uttar Pradesh,Ghazipur,0,29,3,10,1,0,247,152,0,0,0,152,15,137,0,0,0,0,0,0,25,25,0,0,0,0,261,190,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,35,73,0,0,1,3,0,840
32,Uttar Pradesh,Gonda,1,49,0,0,0,0,29,290,289,0,1,0,0,0,0,0,0,0,0,0,27,27,0,0,0,0,94,94,0,0,0,0,246,0,0,0,0,0,0,0,0,0,0,116,42,71,1,0,2,0,0,852
33,Uttar Pradesh,Gorakhpur,0,31,24,0,0,0,664,167,30,0,0,137,137,0,0,0,0,0,0,0,107,33,74,0,0,0,292,178,114,0,0,0,26,0,0,0,0,0,0,0,80,80,0,188,74,112,2,0,0,0,0,1579
34,Uttar Pradesh,Hamirpur,0,20,0,0,0,0,133,63,0,0,0,63,8,55,0,0,0,0,0,0,17,17,0,0,0,0,105,105,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,75,24,51,0,0,0,0,0,414
35,Uttar Pradesh,Hapur,0,23,0,0,0,0,289,241,241,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,80,59,21,0,0,0,0,0,0,0,0,0,0,0,9,8,1,32,10,22,0,0,0,0,0,699
36,Uttar Pradesh,Hardoi,0,53,14,5,0,0,173,128,47,0,0,81,81,0,0,0,0,0,0,0,47,19,28,1,0,1,183,112,71,0,0,0,47,0,0,0,0,0,0,0,0,0,0,99,28,71,0,0,0,0,0,750
37,Uttar Pradesh,Hathras,0,26,0,0,1,0,123,206,34,0,0,172,75,97,0,0,0,0,0,0,41,23,18,1,0,1,158,107,51,1,0,1,0,0,0,0,0,0,0,0,3,3,0,70,18,51,1,0,0,0,0,630
38,Uttar Pradesh,Jalaun,0,25,5,0,0,0,97,97,97,0,0,0,0,0,0,0,0,0,0,0,18,18,0,0,0,0,52,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,25,47,1,0,0,0,0,367
39,Uttar Pradesh,Jaunpur,1,28,5,0,1,0,170,201,135,0,0,66,66,0,0,0,0,0,0,0,120,34,86,0,0,0,161,88,73,0,0,0,0,0,0,0,0,0,0,0,31,31,0,159,86,73,0,0,0,0,0,877
40,Uttar Pradesh,Jhansi,0,26,12,0,0,0,260,85,0,0,0,85,4,81,0,0,0,0,0,0,43,43,0,0,0,0,112,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,21,45,1,0,0,0,0,605
41,Uttar Pradesh,Kannauj,2,24,9,0,1,0,471,322,246,1,0,75,75,0,0,0,0,0,0,0,43,43,0,0,0,0,132,132,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,81,28,53,0,0,0,0,0,1086
42,Uttar Pradesh,Kanpur Dehat,2,18,5,0,0,0,312,130,130,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,86,86,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,96,22,74,0,0,0,0,0,661
43,Uttar Pradesh,Kanpur Commissionarate,0,43,0,0,2,0,1075,296,55,0,0,241,168,73,0,0,0,0,0,0,86,86,0,1,1,0,366,366,0,1,1,0,0,5,5,0,0,0,0,0,0,0,0,279,118,152,7,0,2,0,0,2154
44,Uttar Pradesh,Kasganj,0,28,1,0,0,0,114,195,195,0,0,0,0,0,0,0,0,0,0,0,50,24,26,0,0,0,199,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,17,35,7,0,0,0,0,646
45,Uttar Pradesh,Kaushambi,0,13,0,0,1,0,68,143,0,0,0,143,0,143,0,0,0,0,0,0,45,45,0,0,0,0,48,48,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,67,23,44,0,0,0,0,0,392
46,Uttar Pradesh,Khiri,4,53,0,0,0,0,274,209,0,0,0,209,28,181,0,0,0,0,0,0,94,94,0,0,0,0,96,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,36,62,1,0,0,0,0,829
47,Uttar Pradesh,Kushi Nagar,0,27,3,1,0,0,98,423,131,0,0,292,210,82,0,0,0,0,0,0,21,21,0,0,0,0,89,89,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,91,37,54,0,0,0,0,0,764
48,Uttar Pradesh,Lalitpur,0,13,0,0,0,0,38,39,0,0,0,39,39,0,0,0,0,0,0,0,27,27,0,3,3,0,52,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,18,22,0,0,0,0,0,212
49,Uttar Pradesh,Lucknow Commissionarate,0,43,44,0,0,0,1038,248,0,0,0,248,192,56,0,0,0,0,0,0,156,156,0,0,0,0,387,387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,162,99,2,0,7,0,0,2186
50,Uttar Pradesh,Maharajganj,0,21,4,0,0,0,176,7,0,0,0,6,2,4,0,0,1,1,0,0,22,22,0,0,0,0,24,24,0,0,0,0,2,0,0,0,0,0,0,0,7,7,0,65,23,42,0,0,0,0,0,329
51,Uttar Pradesh,Mahoba,0,8,7,0,0,0,12,49,25,0,0,24,2,22,0,0,0,0,0,0,13,13,0,0,0,0,61,61,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,61,20,41,0,0,0,0,0,213
