State,Crime_Head,Year,Persons_Arrested
CHANDIGARH,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2001,33
D & N HAVELI,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2001,7
DAMAN & DIU,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2001,0
DELHI,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2001,650
LAKSHADWEEP,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2001,0
PUDUCHERRY,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2001,66
ANDHRA PRADESH,INSULT TO THE MODESTY OF WOMEN,2001,2268
ARUNACHAL PRADESH,INSULT TO THE MODESTY OF WOMEN,2001,3
ASSAM,INSULT TO THE MODESTY OF WOMEN,2001,11
BIHAR,INSULT TO THE MODESTY OF WOMEN,2001,37
CHHATTISGARH,INSULT TO THE MODESTY OF WOMEN,2001,194
GOA,INSULT TO THE MODESTY OF WOMEN,2001,8
GUJARAT,INSULT TO THE MODESTY OF WOMEN,2001,147
HARYANA,INSULT TO THE MODESTY OF WOMEN,2001,480
HIMACHAL PRADESH,INSULT TO THE MODESTY OF WOMEN,2001,18
JAMMU & KASHMIR,INSULT TO THE MODESTY OF WOMEN,2001,367
JHARKHAND,INSULT TO THE MODESTY OF WOMEN,2001,46
KARNATAKA,INSULT TO THE MODESTY OF WOMEN,2001,71
KERALA,INSULT TO THE MODESTY OF WOMEN,2001,127
MADHYA PRADESH,INSULT TO THE MODESTY OF WOMEN,2001,1123
MAHARASHTRA,INSULT TO THE MODESTY OF WOMEN,2001,1314
MANIPUR,INSULT TO THE MODESTY OF WOMEN,2001,0
MEGHALAYA,INSULT TO THE MODESTY OF WOMEN,2001,0
MIZORAM,INSULT TO THE MODESTY OF WOMEN,2001,0
NAGALAND,INSULT TO THE MODESTY OF WOMEN,2001,0
ODISHA,INSULT TO THE MODESTY OF WOMEN,2001,539
PUNJAB,INSULT TO THE MODESTY OF WOMEN,2001,57
RAJASTHAN,INSULT TO THE MODESTY OF WOMEN,2001,58
SIKKIM,INSULT TO THE MODESTY OF WOMEN,2001,18
TAMIL NADU,INSULT TO THE MODESTY OF WOMEN,2001,1229
TRIPURA,INSULT TO THE MODESTY OF WOMEN,2001,0
UTTAR PRADESH,INSULT TO THE MODESTY OF WOMEN,2001,3961
UTTARAKHAND,INSULT TO THE MODESTY OF WOMEN,2001,137
WEST BENGAL,INSULT TO THE MODESTY OF WOMEN,2001,56
A & N ISLANDS,INSULT TO THE MODESTY OF WOMEN,2001,1
CHANDIGARH,INSULT TO THE MODESTY OF WOMEN,2001,17
D & N HAVELI,INSULT TO THE MODESTY OF WOMEN,2001,0
DAMAN & DIU,INSULT TO THE MODESTY OF WOMEN,2001,0
DELHI,INSULT TO THE MODESTY OF WOMEN,2001,107
LAKSHADWEEP,INSULT TO THE MODESTY OF WOMEN,2001,0
PUDUCHERRY,INSULT TO THE MODESTY OF WOMEN,2001,45
ANDHRA PRADESH,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),2001,9725
ARUNACHAL PRADESH,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),2001,9
ASSAM,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),2001,1515
BIHAR,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),2001,3838
CHHATTISGARH,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),2001,1439
GOA,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),2001,36
GUJARAT,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),2001,10192
HARYANA,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),2001,3134
HIMACHAL PRADESH,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),2001,648
JAMMU & KASHMIR,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),2001,110
JHARKHAND,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),2001,943
KARNATAKA,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),2001,3413
KERALA,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),2001,4288
MADHYA PRADESH,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),2001,7155
MAHARASHTRA,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),2001,20940
